blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,postal
35A,LOR 5 TOA PAYOH,5,1995,N,N,N,N,Y,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,1.336020767662,103.852956988062,310075
35A,MARGARET DR,1,2023,N,N,N,N,N,Y,QT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2968175610396,103.808394887713,NIL
35A,MARINE CRES,5,2001,N,N,N,N,Y,N,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30572354541959,103.91253050447,440047
35A,TANGLIN HALT RD,1,2000,N,N,N,N,N,Y,QT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30003153088911,103.797273446935,NIL
350,ANG MO KIO ST 32,30,1999,Y,N,N,N,N,N,AMK,174,0,0,0,87,87,0,0,0,0,0,0,0,1.36426028871543,103.849693071034,NIL
350,ANCHORVALE RD,17,2014,Y,N,N,N,N,Y,SK,344,0,0,0,0,0,0,0,0,173,171,0,0,1.3933874649956,103.887295019431,NIL
350,BT BATOK ST 34,9,1986,Y,Y,N,Y,N,N,BB,96,0,0,0,96,0,0,0,0,0,0,0,0,1.36376374935757,103.750104044118,NIL
350,CANBERRA RD,1,2000,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
350,CHOA CHU KANG CTRL,4,1992,Y,N,N,N,N,N,CCK,14,0,0,0,0,0,14,0,0,0,0,0,0,1.38308302434129,103.747076627693,NIL
350,CLEMENTI AVE 2,10,1977,Y,N,N,N,N,N,CL,90,0,0,0,90,0,0,0,0,0,0,0,0,1.31437328536733,103.770805494512,120353
350,CORPORATION DR,8,1996,Y,N,N,Y,N,N,JW,87,0,0,0,59,28,0,0,0,0,0,0,0,1.33412822236042,103.722420154932,NIL
350,JURONG EAST AVE 1,2,1984,N,Y,N,N,N,N,JE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34394361727901,103.734931027328,NIL
350,TAMPINES ST 33,10,1994,Y,N,N,Y,N,N,TAP,81,0,0,0,45,36,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
350,UBI AVE 1,4,1985,Y,Y,N,N,N,N,GL,19,0,0,14,5,0,0,0,0,0,0,0,0,1.32970734674113,103.899775893502,NIL
350,WOODLANDS AVE 3,12,1985,Y,N,N,N,N,N,WL,110,0,0,0,70,40,0,0,0,0,0,0,0,1.43277433932257,103.779091222588,NIL
350,YISHUN AVE 11,12,1988,Y,N,N,N,N,N,YS,132,0,0,0,85,47,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
350A,ANCHORVALE RD,1,2015,N,Y,N,N,N,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3933874649956,103.887295019431,NIL
350A,CANBERRA RD,14,1999,Y,N,N,Y,N,N,SB,78,0,0,0,26,52,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
350A,YISHUN AVE 11,4,1988,Y,N,N,N,N,N,YS,14,0,0,0,0,0,14,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
350B,CANBERRA RD,14,1999,Y,N,N,Y,N,N,SB,78,0,0,0,26,52,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
350C,CANBERRA RD,14,1999,Y,N,N,Y,N,N,SB,78,0,0,0,26,52,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
351,ANCHORVALE RD,5,2018,N,Y,N,Y,Y,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3933874649956,103.887295019431,NIL
351,ANG MO KIO ST 32,30,1999,Y,N,N,N,N,N,AMK,116,0,0,0,58,58,0,0,0,0,0,0,0,1.36426028871543,103.849693071034,NIL
351,BT BATOK ST 34,4,1985,Y,N,N,N,N,N,BB,12,0,0,0,0,0,12,0,0,0,0,0,0,1.36376374935757,103.750104044118,NIL
351,CANBERRA RD,5,1999,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
351,CHOA CHU KANG CTRL,14,1992,Y,N,N,N,N,N,CCK,52,0,0,0,0,0,52,0,0,0,0,0,0,1.38308302434129,103.747076627693,NIL
351,CLEMENTI AVE 2,10,1977,Y,N,N,Y,N,N,CL,213,0,0,190,18,2,1,0,0,0,0,2,0,1.31437328536733,103.770805494512,120353
351,CORPORATION DR,11,1997,Y,Y,N,N,N,N,JW,80,0,0,0,40,40,0,0,0,0,0,0,0,1.33412822236042,103.722420154932,NIL
351,HOUGANG AVE 7,13,1984,Y,Y,N,N,N,N,HG,96,0,0,0,18,78,0,0,0,0,0,0,0,1.36723963461641,103.899190031581,NIL
351,JURONG EAST ST 31,3,1984,Y,Y,N,N,N,N,JE,12,0,0,12,0,0,0,0,0,0,0,0,0,1.34528588144261,103.730139458498,NIL
351,TAMPINES ST 33,10,1994,Y,Y,N,Y,N,N,TAP,108,0,0,0,54,54,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
351,UBI AVE 1,10,1988,Y,N,N,N,N,N,GL,72,0,0,0,40,32,0,0,0,0,0,0,0,1.32970734674113,103.899775893502,NIL
351,WOODLANDS AVE 1,12,1996,Y,Y,N,N,N,N,WL,110,0,0,0,66,44,0,0,0,0,0,0,0,1.43097003446442,103.78451978162,739066
351,YISHUN AVE 11,11,1987,Y,N,N,N,N,N,YS,50,0,0,0,0,0,50,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
351A,ANCHORVALE RD,17,2018,Y,N,N,N,N,N,SK,112,0,0,0,112,0,0,0,0,0,0,0,0,1.3933874649956,103.887295019431,NIL
351A,CHOA CHU KANG CTRL,1,1992,N,N,N,N,N,Y,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38308302434129,103.747076627693,NIL
351A,CANBERRA RD,14,1999,Y,N,N,Y,N,N,SB,78,0,0,0,26,52,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
351A,TAMPINES ST 33,5,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
351B,ANCHORVALE RD,17,2018,Y,N,N,N,N,N,SK,144,0,112,32,0,0,0,0,0,0,0,0,0,1.3933874649956,103.887295019431,NIL
351B,CANBERRA RD,14,2000,Y,N,N,N,N,N,SB,80,0,0,0,27,53,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
351C,ANCHORVALE RD,17,2018,Y,N,N,N,N,N,SK,143,0,112,31,0,0,0,0,0,0,0,0,0,1.3933874649956,103.887295019431,NIL
351C,CANBERRA RD,14,2000,Y,N,N,N,N,N,SB,78,0,0,0,26,52,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
351D,ANCHORVALE RD,17,2018,Y,N,N,N,N,N,SK,112,0,0,0,112,0,0,0,0,0,0,0,0,1.3933874649956,103.887295019431,NIL
351D,CANBERRA RD,14,2000,Y,N,N,N,N,N,SB,78,0,0,0,0,0,78,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
